School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Southern Illinois University Carbondale,State,"$47,300.00 ","$72,500.00 ","$38,300.00 ","$51,300.00 ","$99,300.00 ","$139,000.00 "
Southern Utah University,State,"$37,291.00 ","$56,500.00 ","$30,700.00 ","$39,700.00 ","$78,400.00 ","$116,000.00 "
St. Cloud State University,State,"$37,202.00 ","$71,400.00 ","$38,700.00 ","$49,400.00 ","$101,000.00 ","$126,000.00 "
St. Olaf College,Liberal Arts,"$46,659.00 ","$86,200.00 ","$41,300.00 ","$61,000.00 ","$120,000.00 ","$185,000.00 "
State University of New York (SUNY) at Albany,Party,"$38,270.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 "
State University of New York (SUNY) at Buffalo,State,"$52,668.00 ","$81,700.00 ","$45,900.00 ","$61,400.00 ","$110,000.00 ","$147,000.00 "
State University of New York (SUNY) at Farmingdale,State,"$37,840.00 ","$84,200.00 ","$50,200.00 ","$59,800.00 ","$110,000.00 ","$162,000.00 "
State University of New York (SUNY) at Fredonia,State,"$30,996.00 ","$66,200.00 ","$32,800.00 ","$44,200.00 ","$93,300.00 ","$181,000.00 "
State University of New York (SUNY) at Geneseo,State,"$39,762.00 ","$81,300.00 ","$39,300.00 ","$47,600.00 ","$117,000.00 ","$173,000.00 "
State University of New York (SUNY) at Oneonta,State,"$41,625.00 ","$76,700.00 ","$40,000.00 ","$54,300.00 ","$97,700.00 ","$155,000.00 "
State University of New York (SUNY) at Oswego,State,"$30,780.00 ","$77,800.00 ","$40,400.00 ","$53,000.00 ","$115,000.00 ","$169,000.00 "
State University of New York (SUNY) at Plattsburgh,State,"$42,432.00 ","$76,200.00 ","$38,400.00 ","$54,100.00 ","$105,000.00 ","$136,000.00 "
State University of New York (SUNY) at Potsdam,State,"$41,040.00 ","$70,300.00 ","$35,100.00 ","$51,200.00 ","$100,000.00 ","$179,000.00 "
Stevens Institute of Technology,Engineering,"$61,812.00 ","$105,000.00 ","$68,700.00 ","$81,900.00 ","$138,000.00 ","$185,000.00 "
Stony Brook University,State,"$43,560.00 ","$93,000.00 ","$47,200.00 ","$67,100.00 ","$129,000.00 ","$181,000.00 "
Swarthmore College,Liberal Arts,"$41,251.00 ","$104,000.00 ",N/A,"$67,200.00 ","$167,000.00 ",N/A
Tarleton State University (TSU),State,"$33,456.00 ","$62,400.00 ","$32,100.00 ","$47,400.00 ","$80,400.00 ","$126,000.00 "
Tennessee Technological University,Engineering,"$50,358.00 ","$80,000.00 ","$42,100.00 ","$62,600.00 ","$99,500.00 ","$121,000.00 "
Texas A&M University,State,"$44,730.00 ","$96,100.00 ","$51,100.00 ","$71,300.00 ","$131,000.00 ","$171,000.00 "
Thomas Aquinas College,Liberal Arts,"$37,765.00 ","$67,500.00 ",N/A,"$44,600.00 ","$93,100.00 ",N/A
Union College,Liberal Arts,"$55,696.00 ","$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 "
University of Akron,State,"$42,744.00 ","$70,300.00 ","$40,600.00 ","$53,300.00 ","$95,200.00 ","$127,000.00 "
University of Alabama at Birmingham (UAB),State,"$39,592.00 ","$70,100.00 ","$43,000.00 ","$53,400.00 ","$91,400.00 ","$125,000.00 "
University of Alabama at Huntsville (UAH),State,"$48,703.00 ","$82,700.00 ","$46,100.00 ","$67,800.00 ","$106,000.00 ","$132,000.00 "
"University of Alabama, Tuscaloosa",Party,"$42,539.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 "
"University of Alaska, Anchorage",State,"$41,769.00 ","$72,600.00 ","$39,800.00 ","$56,600.00 ","$99,300.00 ","$137,000.00 "
University of Arizona,State,"$41,325.00 ","$86,100.00 ","$44,800.00 ","$61,700.00 ","$117,000.00 ","$160,000.00 "
University of Arkansas,State,"$50,274.00 ","$82,800.00 ","$43,200.00 ","$60,700.00 ","$113,000.00 ","$160,000.00 "
